Gene Name,Gene Symbol,Chromosome,Entrez GeneId,NCBI Accession Number,MGI Marker AccessionId,SwissProt Accession Number,GENSAT Number
"RIKEN cDNA 0610005G16 gene (non-RefSeq)","0610005G16Rik*","","0","0610005G16","","",""
"RIKEN cDNA 0610005I03 gene (non-RefSeq)","0610005I03Rik*","","0","0610005I03","","",""
"hypothetical protein 0610005I04","0610005I04","6","207157","NM_177579","","",""
"RIKEN cDNA 0610006F12 gene (non-RefSeq)","0610006F12Rik*","","0","0610006F12","","",""
"RIKEN cDNA 0610006I08 gene","0610006I08Rik","19","66836","NM_025791","MGI:1914086","",""
"RIKEN cDNA 0610007C21 gene","0610007C21Rik","5","381629","NM_027855","MGI:1918918","Q6PGD0",""
"RIKEN cDNA 0610007L01 gene","0610007L01Rik","5","71667","XM_355643","MGI:1918917","",""
"RIKEN cDNA 0610007N19 gene","0610007N19Rik","15","66835","XM_622198","MGI:1914085","",""
"RIKEN cDNA 0610007P06 gene","0610007P06Rik","7","67669","NM_026304","MGI:1914919","",""
"RIKEN cDNA 0610007P08 gene","0610007P08Rik","13","76251","XM_484269","","",""
"RIKEN cDNA 0610007P14 gene","0610007P14Rik","12","58520","NM_021446","MGI:1915571","Q9ERY9",""
"RIKEN cDNA 0610007P22 gene","0610007P22Rik","17","68327","NM_026676","MGI:1915577","",""
"RIKEN cDNA 0610008A24 gene (non-RefSeq)","0610008A24Rik*","","0","0610008A24","","",""
"RIKEN cDNA 0610008C08 gene","0610008C08Rik","X","68316","NM_026673","MGI:1915566","",""
"RIKEN cDNA 0610008F07 gene","0610008F07Rik","2","68314","NM_197983","MGI:1915564","",""
"RIKEN cDNA 0610009B22 gene","0610009B22Rik","11","66050","NM_025319","MGI:1913300","",""
"RIKEN cDNA 0610009D07 gene","0610009D07Rik","12","66055","NM_025323","MGI:1913305","P59708",""
"RIKEN cDNA 0610009I12 gene (non-RefSeq)","0610009I12Rik*","","0","0610009I12","","",""
"RIKEN cDNA 0610009J22 gene","0610009J22Rik","11","71673","NM_027859","MGI:1918923","",""
"RIKEN cDNA 0610009K11 gene","0610009K11Rik","4","68350","NM_026689","MGI:1915600","",""
"RIKEN cDNA 0610009L18 gene (non-RefSeq)","0610009L18Rik*","","0","0610009L18","","",""
"RIKEN cDNA 0610009O03 gene","0610009O03Rik","5","68294","NM_026660","MGI:1915544","",""
